datasourceId,sourceId,sourceType,outputFrequency,time,locationLatitude,locationLongitude,atmPressureIndividual.qcAssessment,atmPressureIndividual.qcFlags,atmPressureIndividual.raw,atmPressureIndividual.status,atmPressureIndividual.value,bcAllSourcesIndividual.qcAssessment,bcAllSourcesIndividual.qcFlags,bcAllSourcesIndividual.raw,bcAllSourcesIndividual.status,bcAllSourcesIndividual.value,bcBiomassIndividual.qcAssessment,bcBiomassIndividual.qcFlags,bcBiomassIndividual.raw,bcBiomassIndividual.status,bcBiomassIndividual.value,bcFossilFuelIndividual.qcAssessment,bcFossilFuelIndividual.qcFlags,bcFossilFuelIndividual.raw,bcFossilFuelIndividual.status,bcFossilFuelIndividual.value,bcSpectralBIndividual.qcAssessment,bcSpectralBIndividual.qcFlags,bcSpectralBIndividual.raw,bcSpectralBIndividual.status,bcSpectralBIndividual.value,bcSpectralGIndividual.qcAssessment,bcSpectralGIndividual.qcFlags,bcSpectralGIndividual.raw,bcSpectralGIndividual.status,bcSpectralGIndividual.value,bcSpectralIRIndividual.qcAssessment,bcSpectralIRIndividual.qcFlags,bcSpectralIRIndividual.raw,bcSpectralIRIndividual.status,bcSpectralIRIndividual.value,bcSpectralRIndividual.qcAssessment,bcSpectralRIndividual.qcFlags,bcSpectralRIndividual.raw,bcSpectralRIndividual.status,bcSpectralRIndividual.value,bcSpectralUVIndividual.qcAssessment,bcSpectralUVIndividual.qcFlags,bcSpectralUVIndividual.raw,bcSpectralUVIndividual.status,bcSpectralUVIndividual.value,no2ConcIndividual.qcAssessment,no2ConcIndividual.qcFlags,no2ConcIndividual.raw,no2ConcIndividual.status,no2ConcIndividual.value,o3ConcIndividual.qcAssessment,o3ConcIndividual.qcFlags,o3ConcIndividual.raw,o3ConcIndividual.status,o3ConcIndividual.value,pm10ConcMassIndividual.qcAssessment,pm10ConcMassIndividual.qcFlags,pm10ConcMassIndividual.raw,pm10ConcMassIndividual.status,pm10ConcMassIndividual.value,pm10ConcNumIndividual.qcAssessment,pm10ConcNumIndividual.qcFlags,pm10ConcNumIndividual.raw,pm10ConcNumIndividual.status,pm10ConcNumIndividual.value,pm1ConcMassIndividual.qcAssessment,pm1ConcMassIndividual.qcFlags,pm1ConcMassIndividual.raw,pm1ConcMassIndividual.status,pm1ConcMassIndividual.value,pm1ConcNumIndividual.qcAssessment,pm1ConcNumIndividual.qcFlags,pm1ConcNumIndividual.raw,pm1ConcNumIndividual.status,pm1ConcNumIndividual.value,pm2_5ConcMassIndividual.qcAssessment,pm2_5ConcMassIndividual.qcFlags,pm2_5ConcMassIndividual.raw,pm2_5ConcMassIndividual.status,pm2_5ConcMassIndividual.value,pm2_5ConcNumIndividual.qcAssessment,pm2_5ConcNumIndividual.qcFlags,pm2_5ConcNumIndividual.raw,pm2_5ConcNumIndividual.status,pm2_5ConcNumIndividual.value,relHumidAmbientIndividual.qcAssessment,relHumidAmbientIndividual.qcFlags,relHumidAmbientIndividual.raw,relHumidAmbientIndividual.status,relHumidAmbientIndividual.value,relHumidInternalIndividual.qcAssessment,relHumidInternalIndividual.qcFlags,relHumidInternalIndividual.raw,relHumidInternalIndividual.status,relHumidInternalIndividual.value,temperatureAmbientIndividual.qcAssessment,temperatureAmbientIndividual.qcFlags,temperatureAmbientIndividual.raw,temperatureAmbientIndividual.status,temperatureAmbientIndividual.value,temperatureInternalIndividual.qcAssessment,temperatureInternalIndividual.qcFlags,temperatureInternalIndividual.raw,temperatureInternalIndividual.status,temperatureInternalIndividual.value,windDirectionIndividual.qcAssessment,windDirectionIndividual.qcFlags,windDirectionIndividual.raw,windDirectionIndividual.status,windDirectionIndividual.value,windSpeedIndividual.qcAssessment,windSpeedIndividual.qcFlags,windSpeedIndividual.raw,windSpeedIndividual.status,windSpeedIndividual.value
DZSLW4602,APGQ336F,CLARITY_NODE,minute,2024-08-13T17:15:12.205Z,43.600699,-116.347853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],15.31,calibration-missing,,valid,[],19.86,sensor-ready,19.86,valid,[],9.85,calibration-missing,,valid,[],19.09,sensor-ready,19.09,valid,[],14.27,calibrated-ready,12.44,valid,[],19.78,sensor-ready,19.78,,,,,,valid,[],26.2,sensor-ready,26.2,,,,,,valid,[],29.91,sensor-ready,29.91,,,,,,,,,,
DRNGA8818,AJGJQC4K,CLARITY_NODE,minute,2024-08-13T17:15:48.982Z,43.600724,-116.347888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],18.27,calibration-missing,,valid,[],23.41,sensor-ready,23.41,valid,[],12.27,calibration-missing,,valid,[],22.43,sensor-ready,22.43,valid,[],17.46,calibrated-ready,14.22,valid,[],23.34,sensor-ready,23.34,,,,,,valid,[],27.04,sensor-ready,27.04,,,,,,valid,[],29.87,sensor-ready,29.87,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-08-13T17:16:29.960Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-0.2,calibrated-ready,9.06,,,,,,valid,[],5.38,calibration-missing,,valid,[],7.21,sensor-ready,7.21,valid,[],2.42,calibration-missing,,valid,[],6.94,sensor-ready,6.94,valid,[],4.19,calibrated-ready,6.12,valid,[],7.16,sensor-ready,7.16,,,,,,valid,[],31.62,sensor-ready,31.62,,,,,,valid,[],29.46,sensor-ready,29.46,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-08-13T17:17:24.479Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-2.99,calibrated-ready,8.96,,,,,,valid,[],6.92,calibration-missing,,valid,[],6.99,sensor-ready,6.99,valid,[],2.19,calibration-missing,,valid,[],6.63,sensor-ready,6.63,valid,[],3.81,calibrated-ready,6.42,valid,[],6.93,sensor-ready,6.93,,,,,,valid,[],32.2,sensor-ready,32.2,,,,,,valid,[],28.66,sensor-ready,28.66,,,,,,,,,,
DZSLW4602,APGQ336F,CLARITY_NODE,minute,2024-08-13T17:19:55.660Z,43.600699,-116.347853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],16.69,calibration-missing,,valid,[],19.92,sensor-ready,19.92,valid,[],10.42,calibration-missing,,valid,[],19.08,sensor-ready,19.08,valid,[],15.54,calibrated-ready,12.99,valid,[],19.83,sensor-ready,19.83,,,,,,valid,[],26.38,sensor-ready,26.38,,,,,,valid,[],29.97,sensor-ready,29.97,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-08-13T17:20:10.275Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],1.23,calibrated-ready,8.74,,,,,,valid,[],5.42,calibration-missing,,valid,[],6.75,sensor-ready,6.75,valid,[],2.04,calibration-missing,,valid,[],6.46,sensor-ready,6.46,valid,[],4,calibrated-ready,6.02,valid,[],6.7,sensor-ready,6.7,,,,,,valid,[],31.6,sensor-ready,31.6,,,,,,valid,[],29.49,sensor-ready,29.49,,,,,,,,,,
DRNGA8818,AJGJQC4K,CLARITY_NODE,minute,2024-08-13T17:20:30.344Z,43.600724,-116.347888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],19.96,calibration-missing,,valid,[],25.24,sensor-ready,25.24,valid,[],13.62,calibration-missing,,valid,[],24.16,sensor-ready,24.16,valid,[],18.96,calibrated-ready,15.19,valid,[],25.19,sensor-ready,25.19,,,,,,valid,[],26.99,sensor-ready,26.99,,,,,,valid,[],29.96,sensor-ready,29.96,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-08-13T17:21:08.160Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-3.18,calibrated-ready,8.57,,,,,,valid,[],6.58,calibration-missing,,valid,[],7.28,sensor-ready,7.28,valid,[],2.04,calibration-missing,,valid,[],6.97,sensor-ready,6.97,valid,[],3.65,calibrated-ready,6.37,valid,[],7.23,sensor-ready,7.23,,,,,,valid,[],32.2,sensor-ready,32.2,,,,,,valid,[],28.78,sensor-ready,28.78,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-08-13T17:23:50.599Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],1.16,calibrated-ready,8.97,,,,,,valid,[],6.73,calibration-missing,,valid,[],7.58,sensor-ready,7.58,valid,[],2.77,calibration-missing,,valid,[],7.22,sensor-ready,7.22,valid,[],4.92,calibrated-ready,6.61,valid,[],7.52,sensor-ready,7.52,,,,,,valid,[],31.64,sensor-ready,31.64,,,,,,valid,[],29.69,sensor-ready,29.69,,,,,,,,,,
DZSLW4602,APGQ336F,CLARITY_NODE,minute,2024-08-13T17:24:36.115Z,43.600699,-116.347853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],15.58,calibration-missing,,valid,[],20.61,sensor-ready,20.61,valid,[],10.62,calibration-missing,,valid,[],19.85,sensor-ready,19.85,valid,[],14.81,calibrated-ready,12.73,valid,[],20.56,sensor-ready,20.56,,,,,,valid,[],25.97,sensor-ready,25.97,,,,,,valid,[],30.08,sensor-ready,30.08,,,,,,,,,,
